DAY,SHARES,PROFIT,COST
1,75,-962.5500000000002,2575.05
2,81,-1034.6699999999987,2776.1699999999987
3,81,-1044.15,2785.65
4,78,-997.1599999999999,2674.16
5,83,-1087.1100000000001,2871.61
6,85,-1106.6049999999987,2934.1049999999987
7,83,-1062.4331999999995,2846.9331999999995
8,84,-1082.4199999999992,2888.419999999999
9,86,-1090.4999999999995,2939.4999999999995
10,85,-1092.5899999999997,2920.0899999999997
11,86,-1098.5700000000002,2947.57
12,86,-1107.374999999999,2956.374999999999
13,87,-1114.1100000000006,2984.6100000000006
14,84,-1060.6600000000003,2866.6600000000003
15,81,-1037.579999999999,2779.079999999999
16,83,-1052.090000000001,2836.590000000001
17,84,-1072.5299999999997,2878.5299999999997
18,81,-1045.8199999999997,2787.3199999999997
19,83,-1063.1299999999997,2847.6299999999997
20,83,-1054.9149999999995,2839.4149999999995
21,83,-1059.8100000000013,2844.3100000000013
22,82,-1063.1299999999997,2826.1299999999997
23,85,-1071.4990000000012,2898.999000000001
24,83,-1045.7799999999993,2830.2799999999993
25,75,-940.1899999999996,2552.6899999999996
26,82,-1037.780000000001,2800.780000000001
27,84,-1081.1499999999992,2887.149999999999
28,81,-1036.5699999999993,2778.0699999999993
29,76,-978.6900000000005,2612.6900000000005
30,77,-969.8800000000001,2625.38
31,49,-632.1799999999998,1685.6799999999998
